'39 단우 5 463 261909 2222217712 2 141556 179 1099 488018 101 기존구조물깨기 280 1 151305 48 437995 162712 038 69001272 a무근콘크리트깨기 기계100% 48421628 13719298 18399337 16302993 -1무근콘크리트깨기 T-30cm EICID 100% 2449 9772 48421628 5602 13719298 7513 18399337 3657 16302993 No 6철근콘크리트깨기 기계100% 46419 135 32396 166 14022969 철근콘크리트깨기 T-30cm미만 476 29110 13856360 2154 10 253516 7569 3602844 -] No? -2철근콘크리트깨기 T-30cm이상 925 35203 32562775 23938 22142650 1265 10 420 125 No 3 ㅇ기존포장깨 158 537739 26686 415 100 133 153 31718171 콘크리트포장깨기 T-30cm 188 22733 4273804 3220 605360 15686 2948968 3827 719476 2아스팔트포장깨기 T-30cm미민 6755 22837 154 263935 3861 26081055 4387 97184 185 1589 30998695 No5 2359 460 887130 415132 57198 -] 콘크리트포장절던 [|[ 756 2532 678 31866 18 692 974 No6 2아스팔트포장절던 기겨 416 60 2 276928 604 855264 366 440 55224 석축헐기 기겨 10520 508 5864 160 2672 4029376 4208 1345664 364 5489 120 JoE 임목폐기물파쇄 16294 4027578 16331 I420797 781 549557 2152 1057224 4521605 1694979 35359 -1석면해체및철거 117 35769 4184973 14487 1694979 21137 2473029 |45 16965#2 -2 폐기물운반비 석면폐기물 204 [or 43716 39180 43716 89 180#3 -3 폐기물처리비 석면폐기물 204 121300 247452 121300 247452#4 tor 102측구뚝쌓 5600 120 5601 1200 103표토제거 6573357 3238923 868572 1465862 표토제거/답구간 T-20cm 3837 082034 445092 391374 4 245 568 No10 T-20cm 32113 7 5491323 2793831 1477198 38 1220 294 No 11,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,,,단우,,,,,,,,,
,,,,,,,,,,,,
,,,,,5 463 261909,,2222217712,,2 141556 179,,1099 488018,
101 기존구조물깨기,,,,,280 1 151305,,48 437995,,162712 038,,69001272,
a무근콘크리트깨기,기계100%,,,,48421628,,13719298,,18399337,,16302993,
-1무근콘크리트깨기,T-30cm EICID 100%,2449,,9772,48421628,5602,13719298,7513,18399337,3657,16302993,No
6철근콘크리트깨기,기계100%,,,,46419 135,,,,32396 166,,14022969,
철근콘크리트깨기 -],T-30cm미만,476,,29110,13856360,,,2154,10 253516,7569,3602844,No?
-2철근콘크리트깨기,T-30cm이상,925,,35203,32562775,,,23938,22142650,1265,10 420 125 No 3,
ㅇ기존포장깨,,,,,158 537739,,26686 415,,100 133 153,,31718171,
콘크리트포장깨기,T-30cm,188,,22733,4273804,3220,605360,15686,2948968,3827,719476,
2아스팔트포장깨기,T-30cm미민,6755,,22837,154 263935,3861,26081055,4387,97184 185,1589,30998695,No5
,,,,,2359 460,,887130,,415132,,57198,
-] 콘크리트포장절던,,[|[,,756,2532,678,31866,,18 692,,974,No6
2아스팔트포장절던,기겨,416,,60,2 276928,604,855264,,366 440,,55224,
석축헐기,기겨,508,,10520,5864 160,2672,4029376,4208,1345664,364,5489 120,JoE
임목폐기물파쇄,,,,16294,4027578,16331,I420797,781,549557,2152,1057224,
,,,,,4521605,,1694979,,,,35359,
-1석면해체및철거,,117,,35769,4184973,14487,1694979,21137,2473029,|45,16965#2,
-2 폐기물운반비,석면폐기물,204,[or,43716,39180,,,,,43716,89 180#3,
-3 폐기물처리비,석면폐기물,204,tor,121300,247452,,,,,121300,247452#4,
102측구뚝쌓,,,,5600,120,,,5601,1200,,,
103표토제거,,,,,6573357,,3238923,,868572,,1465862,
표토제거/답구간,T-20cm,3837,,,082034,,445092,,391374,4,245 568,No10
,T-20cm,32113,,7,5491323,,2793831,,1477198,38,1220 294,No 11
